302563.246162468683900	4123756.141813369002000	
302563.784809168311800	4123755.845151990652000	
302564.475599344121300	4123755.464689346496000	
302565.167316490784300	4123755.084898085799000	
302565.833524759567800	4123754.719846814871000	
302566.484502846316900	4123754.361387344543000	
302567.157453591818900	4123753.991026014555000	
302567.814333016169300	4123753.629667372443000	
302568.471986825461500	4123753.268217178062000	
302569.087148721853700	4123752.929807753302000	
302569.749527033302000	4123752.565488903783000	
302570.344511086063000	4123752.237241832539000	
302570.958208139345500	4123751.899534317199000	
302571.578994806681300	4123751.558317274787000	
302572.228748375433500	4123751.200864882674000	
302572.818637903546900	4123750.875700085890000	
302573.414171274518600	4123750.548124402296000	
302574.016830499051100	4123750.233457656112000	
302574.624317224486700	4123749.899778456893000	
302575.099298532935800	4123749.642271131743000	
302575.636880928650500	4123749.351163954474000	
302576.161230143043200	4123749.069089982659000	
302576.696941431029700	4123748.798948378302000	
302577.246463831514100	4123748.523496719077000	
302577.778928810497700	4123748.265134902671000	
302578.309761103126200	4123748.025938122999000	
302578.830036217288600	4123747.763212295249000	
302579.349671418895000	4123747.555387586821000	
302579.863513047923300	4123747.308591931593000	
302580.386603409657300	4123747.091489881743000	
302580.910900171264100	4123746.855741588399000	
302581.406312043953200	4123746.647703261115000	
302581.932945307402400	4123746.440977191553000	
302582.435962731193300	4123746.237821670715000	
302582.950491005671200	4123746.043699356727000	
302583.495063837035600	4123745.818510144949000	
302584.087780053494500	4123745.628080459312000	
302584.693003709951900	4123745.397001354489000	
302585.247192436771000	4123745.205289934762000	
302585.825696047104430	4123745.066557019483000	
302586.415988022868990	4123744.899900525808000	
302586.987069184018760	4123744.733945935499000	
302587.541880186181520	4123744.604795546737000	
302588.056352670188060	4123744.458402724471000	
302588.613593155401760	4123744.334165662527000	
302589.153664643003140	4123744.219358534086000	
302589.680517251777930	4123744.103147596586000	
302590.180752332671550	4123743.993375870865000	
302590.695911461720240	4123743.894407364074000	
302591.201091820432340	4123743.795744031668000	
302591.719838913646530	4123743.695371720009000	
302592.375019129132850	4123743.563535777852000	
302593.002575452439490	4123743.461149305571000	
302593.566479021799750	4123743.349821180105000	
302594.248687262879685	4123743.238401504699000	
302594.933707947551739	4123743.158811657224000	
302595.543407674646005	4123743.086118789390000	
302596.163546618248800	4123743.031644909643000	
302596.788455898058600	4123742.974485488608000	
302597.369738873210740	4123742.908292861655000	
302597.952660616138020	4123742.854917615186000	
302598.555323418346230	4123742.813474744093000	
302599.138310965150590	4123742.788908096496000	
302599.687267835135570	4123742.786680312362000	
302600.222628648043610	4123742.808256241027000	
302600.769451195141300	4123742.834776014090000	
302601.297905023559000	4123742.848600478377000	
302601.823423916473980	4123742.854215711355000	
302602.332354600192050	4123742.872739882674000	
302602.835280949133450	4123742.899473281577000	
302603.486130769364540	4123742.934873669408000	
302604.133183534722780	4123742.954618545715000	
302604.778408106416460	4123743.011533827987000	
302605.414737755898400	4123743.041013807524000	
302606.013969477266100	4123743.082243054640000	
302606.623706873098900	4123743.136106580496000	
302607.236005836981300	4123743.196867082734000	
302607.840486580389600	4123743.268003555946000	
302608.393671091413100	4123743.339292614255000	
302608.974588449753400	4123743.436674211174000	
302609.542539651505600	4123743.530454730615000	
302610.088502938509900	4123743.641355605796000	
302610.599721010366900	4123743.767881485634000	
302611.138670021435200	4123743.882993789855000	
302611.821842249250000	4123744.021970838774000	
302612.312439020199200	4123744.125272840727000	
302612.974203163641500	4123744.285215464886000	
302613.666154915699700	4123744.464902970009000	
302614.330686624744000	4123744.638670056593000	
302614.952022606332300	4123744.851560681127000	
302615.587707573431500	4123745.028318495024000	
302616.239875847473700	4123745.217039198149000	
302616.816947991377700	4123745.433622448705000	
302617.440422112238600	4123745.640012829565000	
302618.048973137629200	4123745.843015760183000	
302618.612382944906100	4123746.073911756743000	
302619.179164940374900	4123746.277372453827000	
302619.702325876336500	4123746.525327770505000	
302620.246154839056500	4123746.770689103287000	
302620.946977670071600	4123747.056821911596000	
302621.478492791531600	4123747.281766983680000	
302622.008791024447400	4123747.522001357283000	
302622.515043313382200	4123747.735288708936000	
302623.026607568317600	4123747.971799940336000	
302623.530366951949000	4123748.188627331983000	
302624.008548791054600	4123748.420255750883000	
302624.491802271513700	4123748.654386611190000	
302624.959796960814900	4123748.890226454008000	
302625.423337991931500	4123749.160276505165000	
302625.974889810546300	4123749.498991104774000	
302626.455888802767700	4123749.751707169693000	
302627.028266960813200	4123750.082059950102000	
302627.564754541148400	4123750.431760876905000	
302628.108192498155400	4123750.765012831893000	
302628.661140496609700	4123751.113187881187000	
302629.168640190851900	4123751.450742812827000	
302629.668415123713200	4123751.818052381743000	
302630.184013421763700	4123752.166166395415000	
302630.682876642560600	4123752.503263563383000	
302631.131702477869100	4123752.867338268086000	
302631.610015924670700	4123753.205228895880000	
302632.075813348928900	4123753.550230117515000	
302632.517654473136600	4123753.922697158996000	
302632.974597984808500	4123754.258146376815000	
302633.440841730102000	4123754.634306044318000	
302633.881885582581200	4123754.973325821105000	
302634.302356773929200	4123755.321134659927000	
302634.725727136712500	4123755.683073132765000	
