316705.9210	4158123.7510
316705.9065	4158123.5540
316705.8959	4158123.3677
316705.8867	4158123.1697
316705.8786	4158122.9716
316705.8753	4158122.7759
316705.8663	4158122.5803
316705.8574	4158122.3829
316705.8581	4158122.1921
316705.8586	4158121.9971
316705.8587	4158121.8032
316705.8616	4158121.6103
316705.8594	4158121.4184
316705.8642	4158121.2187
316705.8738	4158121.0314
316705.8871	4158120.8425
316705.9062	4158120.6474
316705.9289	4158120.4508
316705.9400	4158120.2519
316705.9825	4158120.0597
316706.0256	4158119.8723
316706.0667	4158119.6894
316706.1138	4158119.5031
316706.1769	4158119.3143
316706.2406	4158119.1247
316706.3031	4158118.9369
316706.3755	4158118.7524
316706.4477	4158118.5714
316706.5194	4158118.3915
316706.5864	4158118.2037
316706.6545	4158118.0195
316706.7235	4158117.8451
316706.7919	4158117.6715
316706.8637	4158117.4860
316706.9155	4158117.2996
316706.9834	4158117.1193
316707.0751	4158116.9461
316707.1547	4158116.7779
316707.2116	4158116.6004
316707.2836	4158116.4172
316707.3540	4158116.2370
316707.4171	4158116.0584
316707.4702	4158115.8764
316707.5129	4158115.6863
316707.5553	4158115.4998
316707.6093	4158115.3073
316707.6726	4158115.1290
316707.7420	4158114.9512
316707.8098	4158114.7686
316707.8615	4158114.5821
316707.9146	4158114.3921
316707.9673	4158114.2033
316708.0220	4158114.0261
316708.0856	4158113.8364
316708.1476	4158113.6517
316708.2091	4158113.4681
316708.2814	4158113.2834
316708.3450	4158113.0997
316708.4189	4158112.9236
316708.4987	4158112.7499
316708.5809	4158112.5682
316708.6622	4158112.3870
316708.7408	4158112.2151
316708.8413	4158112.0433
316708.9263	4158111.8625
316708.9983	4158111.6891
316709.0719	4158111.5185
316709.1624	4158111.3413
316709.2503	4158111.1696
316709.3240	4158110.9893
316709.4022	4158110.8106
316709.4819	4158110.6368
316709.5667	4158110.4596
316709.6532	4158110.2874
316709.7357	4158110.1084
316709.8257	4158109.9322
316709.8984	4158109.7562
316709.9713	4158109.5705
316710.0433	4158109.3972
316710.1216	4158109.2248
316710.2095	4158109.0530
316710.3067	4158108.8853
316710.4072	4158108.7134
316710.5118	4158108.5486
316710.6244	4158108.3856
316710.7364	4158108.2276
316710.8447	4158108.0671
316710.9712	4158107.9122
316711.0970	4158107.7682
316711.2335	4158107.6327
316711.3712	4158107.4931
316711.5091	4158107.3519
316711.6510	4158107.2137
316711.7848	4158107.0694
316711.9149	4158106.9228
316712.0663	4158106.7971
316712.2130	4158106.6651
316712.3595	4158106.5408
316712.5058	4158106.4223
316712.6515	4158106.3026
316712.8044	4158106.1796
316712.9510	4158106.0594
316713.1005	4158105.9363
316713.2493	4158105.8141
316713.3980	4158105.6916
316713.5414	4158105.5740
316713.6927	4158105.4522
316713.8433	4158105.3310
316713.9804	4158105.2084
316714.1156	4158105.0825
316714.2538	4158104.9559
316714.3988	4158104.8190
316714.5609	4158104.7038
316714.7090	4158104.5764
316714.8421	4158104.4448
316714.9730	4158104.3097
316715.1166	4158104.1783
316715.2594	4158104.0437
316715.4050	4158103.9099
316715.5402	4158103.7840
316715.6852	4158103.6471
316715.8294	4158103.5110
316715.9744	4158103.3762
316716.1272	4158103.2507
316716.2798	4158103.1251
316716.4213	4158102.9841
316716.5607	4158102.8497
316716.7086	4158102.7157
316716.8489	4158102.5908
316716.9972	4158102.4617
316717.1435	4158102.3330
316717.2943	4158102.2023
316717.4521	4158102.0796
316717.6021	4158101.9653
316717.7470	4158101.8444
316717.8800	4158101.7087
316718.0302	4158101.5868
316718.1768	4158101.4708
316718.3228	4158101.3577
316718.4845	4158101.2457
316718.6319	4158101.1350
316718.7817	4158101.0186
316718.9387	4158100.8964
316719.0886	4158100.7800
316719.2417	4158100.6552
316719.3820	4158100.5302
316719.5446	4158100.4158
316719.7034	4158100.2969
316719.8538	4158100.1795
316720.0044	4158100.0603
316720.1581	4158099.9405
316720.3044	4158099.8319
316720.4612	4158099.7235
316720.6115	4158099.6058
316720.7650	4158099.4858
316720.9109	4158099.3743
316721.0756	4158099.2736
316721.2404	4158099.1811
316721.4098	4158099.0845
316721.5720	4158098.9714
316721.7359	4158098.8693
316721.9005	4158098.7684
316722.0609	4158098.6683
316722.2140	4158098.5474
316722.3597	4158098.4217
316722.5015	4158098.2954
316722.6456	4158098.1670
316722.7796	4158098.0231
316722.9046	4158097.8816
316723.0262	4158097.7362
316723.1358	4158097.5780
