316704.493617569	4158051.89419478	
316705.157917618	4158051.9572372	
316706.088721753	4158052.08100468	
316706.816578206	4158052.2203554	
316707.314248512	4158052.3425858	
316708.070078456	4158052.54792888	
316708.577808306	4158052.72544552	
316709.085783158	4158052.91405844	
316709.612407003	4158053.14666622	
316710.121606914	4158053.39076045	
316710.622462374	4158053.65724228	
316711.142211831	4158053.97881523	
316711.644292324	4158054.30077836	
316712.138273375	4158054.65622535	
316712.938751525	4158055.282446	
316713.443282048	4158055.71537173	
316713.904375272	4158056.1825616	
316714.321541168	4158056.66182312	
316714.738952032	4158057.15218091	
316715.121515047	4158057.6655115	
316715.496713654	4158058.24561468	
316716.028223349	4158059.09980786	
316716.359739582	4158059.70307894	
316716.621070157	4158060.3301031	
316716.84657285	4158060.93571505	
316717.074035625	4158061.63009701	
316717.294133992	4158062.39125153	
316717.539986669	4158063.51819213	
316717.662660984	4158064.27039619	
316717.724229172	4158065.05725451	
316717.759294007	4158065.84469803	
316717.707960494	4158067.12252229	
316717.619588092	4158067.92379306	
316717.478699063	4158068.74842676	
316717.303207331	4158069.6071295	
316717.056060028	4158070.42300783	
316716.737992218	4158071.22935049	
316716.375507246	4158072.02557229	
316715.95977068	4158072.81186829	
316715.490292501	4158073.56604601	
316714.96780777	4158074.32139421	
316714.373422529	4158075.0228218	
316713.742719556	4158075.68064475	
316713.058520015	4158076.31744571	
316712.302664994	4158076.91142234	
316711.510247219	4158077.45069812	
316710.243955283	4158078.1447595	
316709.789465084	4158078.37682863	
316709.325405397	4158078.57580412	
316707.931266242	4158079.08396076	
316707.430398724	4158079.21713919	
316706.427438585	4158079.4280149	
316704.910611068	4158079.58362816	
316704.363121121	4158079.60681971	
316703.328757109	4158079.59635607	
316702.815134697	4158079.55218988	
316701.768505731	4158079.38657403	
316701.226909767	4158079.27641571	
316700.711081983	4158079.1323834	
316699.696115075	4158078.79954371	
316699.16188324	4158078.62261293	
316698.679677842	4158078.40012664	
316697.687293406	4158077.88916191	
316696.73761078	4158077.31064434	
316696.288782646	4158076.99860781	
316695.856888224	4158076.65289236	
316695.010278063	4158075.93887885	
316694.223303428	4158075.1236335	
316693.842210056	4158074.67688133	
316693.52369287	4158074.26205224	
316692.866784098	4158073.33291805	
316692.288159936	4158072.34654678	
316691.823403228	4158071.31325427	
316691.428586832	4158070.24511223	
316691.275228307	4158069.7045176	
316691.011703243	4158068.57796784	
316690.853946455	4158067.43798064	
316690.793123535	4158066.2847511	
316690.789215426	4158065.70755104	
316690.870723927	4158064.5955849	
316691.049166395	4158063.47037643	
316691.342211778	4158062.33153543	
316691.498059054	4158061.78411233	
316691.69807863	4158061.23571375	
316692.160694204	4158060.17083966	
316692.713369803	4158059.18168837	
316693.346290803	4158058.22407001	
316694.059947308	4158057.32017708	
316694.837160497	4158056.49259229	
316695.712778122	4158055.7183428	
316696.617349701	4158055.05447062	
316697.078960087	4158054.74453197	
316697.576398433	4158054.45600548	
316698.074081851	4158054.17857527	
316698.590169342	4158053.93404366	
316699.097912471	4158053.71189967	
316699.624059663	4158053.52265428	
316700.712672106	4158053.18776824	
316701.257713461	4158053.05361403	
316701.829993322	4158052.95216333	
316702.958599376	4158052.82732597	
316703.532839516	4158052.81464538	
316704.098490221	4158052.81325617	
316705.222917395	4158052.89944294	
316705.790528314	4158052.98682383	
316706.34071532	4158053.08569118	
316706.909306317	4158053.21745714	
316707.442804467	4158053.36109972	
316707.994951624	4158053.54873716	
316708.520840391	4158053.74805613	
316709.565743568	4158054.23565924	
316710.058009561	4158054.51343237	
316710.541441059	4158054.7914006	
316711.456767315	4158055.41508509	
316711.915900512	4158055.79350487	
316712.339940846	4158056.18380123	
316713.144094123	4158056.97646563	
316713.506048113	4158057.35703132	
316713.88763113	4158057.82597687	
316714.215962342	4158058.28499663	
316714.544293519	4158058.74401641	
316714.837776868	4158059.22600899	
316715.140094642	4158059.7078065	
316715.631352269	4158060.740515	
316716.04358973	4158061.79717168	
316716.351283755	4158062.92274674	
316716.450898956	4158063.43122346	
316716.551984235	4158064.00627768	
316716.666055277	4158065.16943309	
316716.678551022	4158065.73534178	
316716.682947362	4158066.33473429	
316716.641946392	4158066.87962092	
316716.602415519	4158067.49108504	
316716.508407884	4158068.03714211	
316716.415380325	4158068.62758417	
316716.113497408	4158069.76661925	
316715.913476508	4158070.3150172	
316715.713455637	4158070.86341516	
316715.232678912	4158071.90648551	
316714.908240886	4158072.42432578	
316714.627975112	4158072.94119069	
316714.338384898	4158073.43605819	
316714.057384141	4158073.91963438	
316713.750125117	4158074.41489205	
316713.468634392	4158074.87627576	
316713.169229802	4158075.32695339	
316712.878659683	4158075.77743595	
316712.579745202	4158076.2503061	
316712.28893013	4158076.68969244	
316711.706810036	4158077.54627265	
316711.124200021	4158078.38066041	
316710.653007455	4158079.0571647	
